distance, velocity
0.09561297885848341, -324.13014541430357
0.2636125180897253, -78.0993043678468
0.3147693886980629, 231.50633962636448
0.514416454641901, -40.584234867882515
0.5508165356516794, 286.4451033770856
0.5833429593918364, 491.3539336929348
0.6097207207992608, 844.5906142518838
0.6089213946960055, -308.2931111038024
0.6728674829564281, 141.7073000263117
0.7012200500307182, 1129.6839812099022
0.7043964570292747, 636.0301641596861
0.6904526572280438, 281.5994605972892
0.7089437344166825, 906.7526750866111
0.7638764692842075, 817.5216606837444
0.822341464265165, 183.34632082823055
0.8308676093665543, 1097.9069822684146
0.8298018412288812, 608.1820374512122
0.8496251285896117, 795.4644125772923
0.8914032395864211, 442.88032276454805
0.9886012937422628, 787.8741716810111
1.0511263578191203, 387.5811905840842
1.0821224478231308, 930.6320714379683
1.129282687915192, 800.7768116635366
1.1332793184314685, 726.1158756523259
1.1276840357086815, 497.7202835153266
1.1821447875438078, 292.94719992983346
1.3005161020347675, 489.79026882427706
1.4913774126898336, 691.5588820549924
1.644848024514847, 1790.5919040257857
1.7215833304273536, 1091.131101170898
1.8010927681099813, 1289.4143185494165
1.7994376928844174, 892.1435775994382
1.8042691751085387, 572.1432852402459
1.8010927681099813, -34.62876401711901
1.913079026878654, 589.6733512507749
1.9784867400136001, 292.94719992983346
2.376607562453782, 640.0860567881932
2.731931524942026, 940.8517382581235
2.731931524942026, 640.9631545191419
3.4481277134587565, 790.9074463886327
